Roll.No,Item,Date,Location,F/L
EC23I2013,Umbrella,14-11-2023,acads,L
CS23I1036,Calculator,14-11-2023,unknown,L
CS20B1054,watch,14-11-2023,hostel,L
ME22B1051,Earpods,11-11-2023,unknown,L
ME23B2031,Calculator,10-11-2023,unknown,L
ME20B1064,Earpods,10-11-2023,unknown,L
CS22B1022,watch,10-11-2023,unknown,L
CS22B1068,charger,08-11-2023,hostel,L
ME23B2026,Earpods,07-11-2023,acads,L
CS20B1006,Earpods,07-11-2023,sports,L
CS22B1086,watch,06-11-2023,sports,L
EC23I2016,Umbrella,06-11-2023,acads,L
ME22B1001,keys,06-11-2023,Lab,L
CS22B2012,pendrive,06-11-2023,hostel,L
CS21B1083,Earpods,05-11-2023,unknown,L
EC23B1049,Umbrella,04-11-2023,acads,L
CS22B1032,Earpods,02-11-2023,unknown,L
EC23B1003,Earpods,01-11-2023,unknown,L
CS20B1030,Earpods,01-11-2023,library,L
EC22B1015,Debit card,31-10-2023,acads,L
CS23B1083,keys,21-10-2023,unknown,L
ME21B1017,Wallet,19-10-2023,hostel,L
ME22B1013,charger,19-10-2023,acads,L
CS22B1042,Earpods,19-10-2023,Lab,L
ME21B1023,mobile,18-10-2023,acads,L
ME22B1015,mobile,17-10-2023,unknown,L
CS23B1079,Spectacle,27-09-2023,acads,L
EC22B1011,Wallet,26-09-2023,acads,L
ME22B1044,Earpods,25-09-2023,hostel,L
ME23B1033,keys,25-09-2023,acads,L
ME22B1053,Wallet,19-09-2023,hostel,L
ME22B1026,Earpods,16-09-2023,sports,L
ME23B2026,keys,07-09-2023,sports,L
CS21B1035,Earpods,06-09-2023,acads,L
ME20B1011,Earpods,01-09-2023,acads,L
ME23B1001,pendrive,30-08-2023,hostel,L
ME22B2025,keys,05-08-2023,Mess,L
EC20B1014,keys,03-08-2023,sports,L
ME22B1046,keys,14-07-2023,lab,L
EC22B1105,keys,01-06-2023,sports,L
CS22B2008,Earpods,31-05-2023,acads,L
EC21B1086,Earpods,29-05-2023,acads,L
EC22B1038,ID card,19-05-2023,acads,L
EVD18I017,cap,07-05-2023,hostel,L
ESD19I001,ID card,26-04-2023,acads,L
EC22B1055,Earpods,08-04-2023,Mess,L
CS21B1083,Earpods,04-04-2023,sports,L
CED19I008,Earpods,19-03-2023,Mess,L
CS20B1123,ID card,10-03-2023,sports,L
MFD19I020,Earpods,09-03-2023,acads,L
CED19I050,keys,01-03-2023,acads,L
CS22B1023,watch,26-02-2023,unknown,L
CED19I027,charger,13-02-2023,acads,L
CS21B1061,Earphones,12-02-2023,sports,L
CS22B1027,bag,02-02-2023,lab,L
MPD19I002,Spectacle,30-01-2023,Mess,L
EC20B1063,Earphones,20-01-2023,acads,L
COE19B043,Earpods,12-01-2023,Mess,L
CS21B1023,Wallet,12-01-2023,acads,L
CED19I015,ID card,31-12-2023,acads,L
EDM19B027,mobile,19-12-2023,sports,L
CED18I031,Earpods,16-12-2022,sports,L
EC20B1057,watch,26-11-2022,sports,L
CS20B1007,Laptop,18-11-2022,hostel,L
EC20B1044,watch,19-11-2022,sports,L
EC20B1057,Earpods,28-10-2022,Mess,L
CS20B1084,Earpods,18-10-2022,lab,L
CED19I011,Umbrella,01-10-2022,Mess,L
CED19I050,mouse,27-09-2022,lab,L
CED19I050,keys,26-09-2022,Mess,L
EC20B1062,headphone,15-09-2022,hostel,L
EDM19B006,Umbrella,09-09-2022,Mess,L
ME20B2009,Earpods,07-09-2022,acads,L
EC21B1049,watch,30-08-2022,acads,L
ME20B1026,cycle,31-08-2022,acads,L
